PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
736,C-26794,Thiagarajar College of Engineering,Tamil Nadu,Private
737,C-36557,Thiagarajar School of Management,Tamil Nadu,Private
738,C-9557,Thiruvalluvar Government Arts College,Tamil Nadu,State Government
739,U-0462,University of Madras,Tamil Nadu,State Government
740,C-41157,V.O. Chidambaram College,Tamil Nadu,Private
741,U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tamil Nadu,Private
742,U-0490,Vellore Institute of Technology,Tamil Nadu,Private
743,U-0491,Vels Institute of Science Technology and Advanced Studies (VISTAS),Tamil Nadu,Private
744,U-0492,Vinayaka Mission's Research Foundation,Tamil Nadu,Private
745,C-36502,Virudhunagar Hindu Nadars Senthikumara Nadar College,Tamil Nadu,Private
746,C-43946,Women`s Christian College,Tamil Nadu,Private
747,U-1108,ALL INDIA INSTITUTE OF MEDICAL SCIENCE  BIBINAGAR,Telangana,Central Government
748,U-1188,Anurag University,Telangana,Private
749,C-30603,Army College of Dental Sciences,Telangana,Private
750,C-55231,"BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE PILANI,HYDERABAD CAMPUS",Telangana,Private
751,C-25541,Central Research Institute of Unani Medicine,Telangana,Central Government
752,C-19611,CMR College of Pharmacy,Telangana,Private
753,C-58477,ESIC Medical College,Telangana,Central Government
754,C-58651,Footwear Design and Development Institute - Hyderabad,Telangana,Central Government
755,U-0012,"ICFAI Foundation for Higher Education, Hyderabad",Telangana,Private
756,U-0013,Indian Institute of Technology Hyderabad,Telangana,Central Government
757,S-14562,Institute of Management Technology,Telangana,Private
758,U-0014,International Institute of Information Technology Hyderabad,Telangana,Private
759,U-0017,Jawaharlal Nehru Technological University,Telangana,State Government
760,U-0019,Kakatiya University,Telangana,State Government
761,U-0023,"Maulana Azad National Urdu University, Hyderabad",Telangana,Central Government
762,C-60113,MILITARYCOLLEGE OF ELECTRONICS AND MECHANICAL ENGINEERING,Telangana,Central Government
763,U-0024,Nalsar University of Law,Telangana,State Government
764,S-25,NATIONAL ACADEMY OF AGRICULTURE RESEARCH MANAGEMENT,Telangana,Central Government
765,C-25709,National Institute for the Mentally Handicapped,Telangana,Central Government
766,S-14553,National Institute of Agricultural Extension Management,Telangana,Central Government
767,U-1118,National Institute of Pharmaceutical Education and Research Hyderabad,Telangana,Central Government
768,U-0025,National Institute of Technology Warangal,Telangana,Central Government
769,C-25476,"Nizam College, Basheerbagh",Telangana,State Government
770,C-30588,Osmania Medical College,Telangana,State Government
771,U-0027,Osmania University,Telangana,State Government
772,U-0784,Professor Jayashankar Telangana State Agricultural University,Telangana,State Government
773,C-26044,Railway Degree College,Telangana,Central Government
774,U-1318,SR University,Telangana,Private
775,U-0041,"The English and Foreign Languages University, Hyderabad",Telangana,Central Government
776,C-61514,University College of Engineering,Telangana,State Government
777,U-0042,University of Hyderabad,Telangana,Central Government
778,C-19613,Vishnu Institute of Pharmaceutical Education and Research,Telangana,Private
779,C-50817,DIU COLLEGE,The Dadra and Nagar Haveli and Daman and Diu,Central Government
780,C-47929,DR B B A GOVERNMENT POLYTECHNIC,The Dadra and Nagar Haveli and Daman and Diu,Central Government
781,C-59611,"GOVERNMENT COLLEGE OF NURSING, DAMAN",The Dadra and Nagar Haveli and Daman and Diu,Central Government
782,C-60284,GOVERNMENT ENGINEERING COLLEGE DAMAN,The Dadra and Nagar Haveli and Daman and Diu,Central Government
783,C-52604,"GOVERNMENT POLYTECHNIC, DIU",The Dadra and Nagar Haveli and Daman and Diu,Central Government
784,C-63929,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY VADODARA INTERNATIONAL CAMPUS DIU,The Dadra and Nagar Haveli and Daman and Diu,Central Government
785,C-48563,"Shri Vinoba Bhave College of Nursing, Silvassa",The Dadra and Nagar Haveli and Daman and Diu,Central Government
786,C-65956,SHRI VINOBA BHAVE INSTITUTE OF MEDICAL SCIENCE AND RESEARCH,The Dadra and Nagar Haveli and Daman and Diu,Central Government
787,S-19405,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET)  AGARTALA,Tripura,Central Government
788,U-1158,Indian Institute of Information Technology Agartala,Tripura,Central Government
789,C-47426,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY, AGARTALA",Tripura,Central Government
790,U-0493,National Institute of Technology Agartala,Tripura,Central Government
791,S-18150,NATIONAL SCHOOL OF DRAMA (THEATRE-IN-EDUCATION WING),Tripura,Central Government
792,U-0495,"Tripura University, Agartala",Tripura,Central Government
793,U-0713,Academy of Scientific and Innovative Research,Uttar Pradesh,Central Government
794,U-0496,Aligarh Muslim University,Uttar Pradesh,Central Government
795,U-1180,ALL INDIA INSTITUTE OF MEDICAL SCIENCE GORAKHPUR,Uttar Pradesh,Central Government
796,U-1092,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES (AIIMS), RAEBARELI",Uttar Pradesh,Central Government
797,U-0497,Amity University,Uttar Pradesh,Private
798,U-0498,Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Central Government
799,U-0500,Banaras Hindu University,Uttar Pradesh,Central Government
800,S-354,Birla Institute of Management Technology,Uttar Pradesh,Private
801,U-0502,Bundelkhand University,Uttar Pradesh,State Government
802,C-32889,"C - DAC, NOIDA",Uttar Pradesh,Central Government
803,U-0503,"Central Institute of Higher Tibetan Studies, Varanasi",Uttar Pradesh,Central Government
804,U-0505,Chatrapati Sahuji Maharaj Kanpur University,Uttar Pradesh,State Government
805,U-0506,Chaudhary Charan Singh University Meerut,Uttar Pradesh,State Government
806,U-0511,Dr. Ram Manohar Lohiya National Law University,Uttar Pradesh,State Government
807,U-0898,Footwear Design and Development Institute,Uttar Pradesh,Central Government
808,C-58652,FOOTWEAR DESIGN AND DEVELOPMENT INSTITUTE - RAE BARELI,Uttar Pradesh,Central Government
809,U-0513,G. L. A. University,Uttar Pradesh,Private
810,U-0643,Galgotias University,Uttar Pradesh,Private
811,U-0864,Harcourt Butler Technical University,Uttar Pradesh,State Government
812,C-12510,"I.G.R.U. ACADEMY, FURSATGANJ AIRFIELD,",Uttar Pradesh,Central Government
813,C-46732,"INDIAN INSTITUTE OF CARPET TECHNOLOGY, BHADOHI",Uttar Pradesh,Central Government
814,S-14554,"INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY, VARANASI",Uttar Pradesh,Central Government
815,U-0516,Indian Institute of Information Technology Allahabad,Uttar Pradesh,Central Government
816,U-0801,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, LUCKNOW",Uttar Pradesh,Central Government
817,U-1008,Indian Institute of Management Lucknow,Uttar Pradesh,Central Government
818,U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Uttar Pradesh,Central Government
819,U-0517,Indian Institute of Technology Kanpur,Uttar Pradesh,Central Government
820,U-0518,"Indian Veterinary Research Institute, Izatnagar",Uttar Pradesh,Central Government
821,S-394,Institute of Management Technology,Uttar Pradesh,Private
822,U-0519,Integral University,Uttar Pradesh,Private
823,S-419,Jaipuria Institute of Management Lucknow,Uttar Pradesh,Private
824,S-3283,Jaipuria Institute of Management Noida,Uttar Pradesh,Private
825,C-46111,KIET Group of Institutions: KIET Group of Pharmacy,Uttar Pradesh,Private
826,U-0523,King George`s Medical University,Uttar Pradesh,State Government
827,U-0739,Madan Mohan Malaviya University of Technology,Uttar Pradesh,State Government
828,U-0525,"Mahatama Jyotiba Phule Rohikhand University, Bareilly",Uttar Pradesh,State Government
829,U-0530,"Motilal Nehru National Institute of Technology, Allahabad",Uttar Pradesh,Central Government
830,S-17656,National Institute of Pharmaceutical Education and Research Raebareli,Uttar Pradesh,Central Government
831,S-8962,"NATIONAL SUGER INSTITUTE, KANPUR",Uttar Pradesh,Central Government
832,C-62971,Noida Institute of Engineering and Technology (Pharmacy Institute),Uttar Pradesh,Private
833,U-0535,Rajiv Gandhi Institute of Petroleum Technology,Uttar Pradesh,Central Government
834,U-1117,RAJIV GANDHI NATIONAL AVIATION UNIVERSITY,Uttar Pradesh,Central Government
835,U-1198,Rani Lakshmi Bai Central Agricultural University,Uttar Pradesh,Central Government
836,U-0536,"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Uttar Pradesh,State Government
837,U-0538,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Uttar Pradesh,State Government
838,U-0541,Sharda University,Uttar Pradesh,Private
839,U-0642,Shiv Nadar University,Uttar Pradesh,Private
840,U-0548,"University of Allahabad, Allahabad",Uttar Pradesh,Central Government
841,U-0524,University of Lucknow,Uttar Pradesh,State Government
842,U-0882,Uttar Pradesh University of Medical Sciences,Uttar Pradesh,State Government
843,U-0691,All India Institute of Medical Sciences Rishikesh,Uttarakhand,Central Government
844,U-0774,DIT University,Uttarakhand,Private
845,U-0553,"Forest Research Institute, Dehradun",Uttarakhand,Central Government
846,U-0554,G.B. Pant Universtiy of Agriculture and Technology,Uttarakhand,State Government
847,U-0555,Graphic Era University,Uttarakhand,Private
848,U-0557,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal",Uttarakhand,Central Government
849,U-1009,Indian Institute of Management Kashipur,Uttarakhand,Central Government
850,U-0560,Indian Institute of Technology Roorkee,Uttarakhand,Central Government
851,U-0562,"Kumaun University, Nainital",Uttarakhand,State Government
852,U-0616,National Institute of Technology Uttarakhand,Uttarakhand,Central Government
853,U-0564,UPES,Uttarakhand,Private
854,C-16448,Ali Yabar Jung National Institute of Hearing Handicapped,West Bengal,Central Government
855,C-16390,All India Institute of Hygiene and Public Health,West Bengal,Central Government
856,U-1052,ALL INDIA INSTITUTE OF MEDICAL SCIENCE KALYANI,West Bengal,Central Government
857,C-11991,Bethune College,West Bengal,State Government
858,U-0568,Bidhan Chandra Krishi Vishwavidyalaya,West Bengal,State Government
859,U-0570,Calcutta University,West Bengal,State Government
860,C-16396,Central Research Institute of Ayurveda,West Bengal,Central Government
861,C-44043,Central Sericultural Research & Training Institute,West Bengal,Central Government
862,S-10893,CENTRAL TOOL ROOM & TRAINING CENTRE NORTH 24 PARGANAS,West Bengal,Central Government
863,C-16410,Chittaranjan National Cancer Institute,West Bengal,Central Government
864,C-16434,"College of Nursing, Command Hospital",West Bengal,Central Government
865,C-16409,Command Hospital,West Bengal,Central Government
866,C-6178,Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,West Bengal,Private
867,C-16426,"E S I, Joka",West Bengal,Central Government
868,S-10906,Guru Nanak Institute of Pharmaceutical Science and Technology,West Bengal,Private
869,U-1049,INDIAN ASSOCIATION FOR THE CULTIVATION OF SCIENCE,West Bengal,Central Government
870,U-0584,"INDIAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY, SHIBPUR",West Bengal,Central Government
871,S-15353,INDIAN INSTITUTE OF HANDLOOM TECHNOLOGY,West Bengal,Central Government
872,U-0796,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KALYANI",West Bengal,Central Government
873,U-1019,Indian Institute of Management Calcutta,West Bengal,Central Government
874,U-0572,Indian Institute of Science Education and Research Kolkata,West Bengal,Central Government
875,U-0573,Indian Institute of Technology Kharagpur,West Bengal,Central Government
876,U-0574,"Indian Statistical Institute, Kolkata",West Bengal,Central Government
877,C-16428,Institute of Post Graduate Medical Education and Research,West Bengal,State Government
878,S-10917,"International Management Institute, Kolkata",West Bengal,Private
879,U-0575,Jadavpur University,West Bengal,State Government
880,U-0576,Kalyani University,West Bengal,State Government
881,U-0592,Maulana Abul Kalam Azad University of Technology,West Bengal,State Government
882,C-16424,Medical College,West Bengal,State Government
883,C-19103,Midnapore College,West Bengal,Private
884,C-43354,National Institute for Mentally Handicapped,West Bengal,Central Government
885,C-16392,National Institute of Homoeopathy,West Bengal,Central Government
886,S-19746,National Institute of Pharmaceutical Education and Research Kolkata,West Bengal,Central Government
887,U-1330,National Institute of Technical Teachers Training and Research Kolkata,West Bengal,Central Government
888,U-0577,National Institute of Technology Durgapur,West Bengal,Central Government
889,U-0578,Netaji Subhash Open University,West Bengal,State Government
890,U-0579,"North Bengal University, Darjeeling",West Bengal,State Government
891,U-0580,Presidency University,West Bengal,State Government
892,C-43402,Rama Krishna Mission Vivekananda Centenary College,West Bengal,Private
893,C-42814,Ramakrishna Mission Residential College,West Bengal,Private
894,C-11926,Ramakrishna Mission Vidyamandira,West Bengal,Private
895,C-39254,"Saha Institute of Nuclear Physics (SINP),Kolkata",West Bengal,Central Government
896,C-11964,Scottish Church College,West Bengal,Private
897,C-11881,St. Xavier`s College,West Bengal,Private
898,U-0585,The West Bengal National University of Juridical Sciences,West Bengal,State Government
899,U-0569,University of Burdwan,West Bengal,State Government
900,U-0587,Uttar Banga Krishi Vishwavidyalaya,West Bengal,State Government
901,C-39251,"Variable Energy Cyclotron Centre (VECC),Kolkata",West Bengal,Central Government
902,U-0588,Vidyasagar University,West Bengal,State Government
903,U-0589,"Visva Bharati, Shantiniketan",West Bengal,Central Government
904,U-0591,West Bengal University of Animal and Fishery Sciences,West Bengal,State Government
