PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
176,C-6430,University College of Medical Science & Guru Teg Bahadur Hospital,Delhi,State Government
177,C-6430,University College of Medical Sciences (NIRF Code (I-1409)),Delhi,Central Government
178,U-0120,University of Delhi,Delhi,Central Government
179,C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,Delhi,Central Government
180,C-6383,Zakir Husain Delhi College,Delhi,Central Government
181,C-68553,ALL INDIA INSTITUTE OF AYURVEDA,Goa,Central Government
182,C-61982,Birla Institute of Technology and Science Pilani K K Birla Goa Campus,Goa,Private
183,C-30842,Dempo Charities Trust Dhempe College of Arts & Science,Goa,State Government
184,C-30858,Goa College of Pharmacy,Goa,State Government
185,S-87,Goa Institute of Management,Goa,Private
186,U-0121,Goa University,Goa,State Government
187,U-0907,"Indian Institute of Technology, Goa",Goa,Central Government
188,C-70730,NATIONAL FORENSIC SCIENCES UNIVERSITY GOA CAMPUS,Goa,Central Government
189,C-30849,National Institute of Hydrography,Goa,Central Government
190,U-0620,National Institute of Technology Goa,Goa,Central Government
191,U-1191,ALL INDIA INSTITUTE OF MEDICAL SCIENCES,Gujarat,Central Government
192,U-0123,Anand Agricultural University,Gujarat,State Government
193,U-0830,Anant National University,Gujarat,Private
194,C-323,"CENTRAL INSTITUE OF PLASTICS ENGG. & TECH., VATVA, AHMEDABAD 052 ",Gujarat,Central Government
195,C-50548,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Gujarat,Central Government
196,U-0126,"Central Univeristy of Gujarat, Gandhinagar",Gujarat,Central Government
197,U-0127,Centre for Environmental Planning and Technology University,Gujarat,Private
198,U-0131,Dr. Babasaheb Ambedkar Open University,Gujarat,State Government
199,C-58647,Footwear Design and Development Institute - Bharuch,Gujarat,Central Government
200,U-0968,Gati Shakti Vishwavidyalaya,Gujarat,Central Government
201,C-936,Government Dental College,Gujarat,State Government
202,C-5838,Gujarat Cancer and Research Institute,Gujarat,Private
203,U-0134,Gujarat National Law University,Gujarat,State Government
204,U-0135,Gujarat Technological University,Gujarat,State Government
205,U-0136,Gujarat University,Gujarat,State Government
206,U-0954,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SURAT,Gujarat,Central Government
207,U-0798,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, VADODARA",Gujarat,Central Government
208,U-1016,Indian Institute of Management Ahmedabad,Gujarat,Central Government
209,U-0139,Indian Institute of Technology Gandhinagar,Gujarat,Central Government
210,C-39259,"Institute for Plasma Research (IPR),Gandhinagar",Gujarat,Central Government
211,S-18192,INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION AHMEDABAD,Gujarat,Central Government
212,S-92,Institute of Rural Management Anand (IRMA),Gujarat,Private
213,U-1274,INSTITUTE OF TEACHING AND RESEARCH IN AYURVEDA,Gujarat,Central Government
214,C-409,L. M. College of Pharmacy,Gujarat,Private
215,U-0143,Maharaja Sayajirao University of Baroda,Gujarat,State Government
216,S-14875,MICA,Gujarat,Private
217,U-0593,NATIONAL FORENSIC SCIENCES UNIVERSITY,Gujarat,Central Government
218,U-1028,NATIONAL INSTITUTE OF DESIGN,Gujarat,Central Government
219,C-47471,"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, GANDHINAGAR",Gujarat,Central Government
220,S-15086,National Institute of Occupational Health,Gujarat,Central Government
221,S-17498,National Institute of Pharmaceutical Education and Research Ahmedabad,Gujarat,Central Government
222,U-0145,Navsari Agricultural University,Gujarat,State Government
223,U-0146,Nirma University,Gujarat,Private
224,U-0147,Pandit Deendayal Energy University,Gujarat,Private
225,U-0763,Parul University,Gujarat,Private
226,C-16179,Ramanbhai Patel College of Pharmacy,Gujarat,Private
227,U-0595,"Rashtriya Raksha University, Gujarat",Gujarat,Central Government
228,U-0149,Sardar Vallabhbhai National Institute of Technology,Gujarat,Central Government
229,S-104,UDAYBHANSINHJI REGIONAL INSTITUTE OF CO-OPERATIVE MANAGEMENT,Gujarat,Central Government
230,U-0668,"Uka Tarsadia University, Bardoli",Gujarat,Private
231,U-0155,"Amity University Haryana, Gurgaon",Haryana,Private
232,U-0735,BML Munjal University,Haryana,Private
233,S-932,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING &  TECHNOLOGY,Haryana,Central Government
234,U-0158,"Central University of Haryana, Mahendergarh",Haryana,Central Government
235,U-0159,Chaudhary Charan Singh Haryana Agricultural University,Haryana,State Government
236,C-30768,"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Haryana,State Government
237,C-10775,"Desh Bandhu Gupta Govt. College, Panipat",Haryana,Central Government
